RecordNumber,CustomerId,LastName,RiskScore,Location,Gender,Age,LoyaltyYears,AccountBalance,ProductCount ,HasCreditCard,ActiveStatus,IncomeEstimate,HasComplaint,ComplaintSatisfaction,CardType,CreditCardPoints,Retention
1029,5688177,DINATALE,812,USA,0,40,6,0,2,1,1,122780,0,6,Debit Card,1378,1
1030,5688169,TONKINS,676,USA,0,60,8,0,1,1,1,231964,0,3,Debit Card,896,1
1031,5682505,KANY,818,UK,1,45,11,77691.7,1,0,0,218519,0,1,Gold Card,814,1
1032,5668334,REVOLT,725,UK,1,24,2,0,2,0,0,46172,0,1,Elite Card,1767,1
1033,5750596,WALKINGSTICK,784,USA,1,30,6,0,2,0,1,122433,0,5,Titanium Card,976,1
1034,5696736,VIOLI,736,UK,0,35,3,86754.1,2,0,1,294711,0,3,Debit Card,1522,1
1035,5689754,SPROFERA,720,UK,0,36,8,0,2,0,1,264414,0,2,Titanium Card,494,1
1036,5653734,SWEIS,737,USA,1,32,10,0,1,1,0,52669,0,5,Gold Card,1736,1
1037,5669501,KOHOUTEK,582,UK,1,24,7,71544.1,1,1,0,96449,0,3,Debit Card,1700,1
1038,5632566,MALTER,587,UK,1,18,6,0,2,1,1,271454,0,3,Titanium Card,1026,1
1039,5582382,RANKEN,477,UK,0,28,4,55454.2,1,1,1,207265,0,4,Debit Card,442,1
1040,5577982,STUHR,779,UK,0,76,9,0,1,1,1,130100,0,5,Debit Card,637,1
1041,5781852,SHENKEL,634,USA,0,59,9,102630.8,1,1,1,11128,0,4,Elite Card,397,1
1042,5693473,GRIP,776,UK,1,22,2,0,2,1,0,249564,0,6,Elite Card,507,1
1043,5594389,HERSHKOWITZ,660,USA,1,47,12,90322.1,1,1,0,211321,1,2,Debit Card,555,0
1044,5571984,BIELAMOWICZ,567,UK,0,32,1,0,2,1,0,6690,0,2,Gold Card,850,1
1045,5779984,EBBOLE,744,UK,1,46,5,79749.7,2,1,1,165708,0,5,Elite Card,1317,1
1046,5787008,FOYER,660,USA,0,28,14,80754.8,2,1,0,129690,0,2,Titanium Card,842,1
1047,5644805,HIME,835,USA,1,49,1,0,1,1,0,24750,1,2,Titanium Card,730,0
1048,5795061,SZMANIA,727,UK,1,51,0,0,1,1,0,171030,1,2,Titanium Card,508,0
1049,5645842,KRETLOW,857,Israel,0,22,2,36545,1,1,0,197490,0,3,Elite Card,1772,1
1050,5707493,LAVULO,726,Israel,1,45,11,71966.3,1,1,0,78674,1,5,Titanium Card,1310,0
1051,5624145,LOOMANS,716,UK,0,32,14,0,1,0,1,242197,0,3,Titanium Card,453,1
1052,5715410,POMPA,601,USA,1,41,0,53877.6,1,1,1,30028,0,1,Elite Card,1218,1
1053,5623930,MISCHEL,560,Israel,1,38,11,65470.5,1,1,0,264477,0,3,Elite Card,637,1
1054,5798415,KOMORA,653,USA,0,43,3,63122.8,1,1,1,75733,0,2,Titanium Card,1765,1
1055,5743878,KNOBEL,578,USA,0,19,1,94403.2,1,1,0,45569,0,3,Elite Card,1696,1
1056,5771119,BLIZMAN,575,USA,1,80,6,0,2,1,1,241990,0,3,Debit Card,760,1
1057,5799875,POINT,692,USA,1,37,12,0,2,1,0,68022,0,4,Gold Card,876,1
1058,5707643,KONCHAR,632,UK,1,47,14,81966.1,1,0,0,270377,1,2,Titanium Card,1768,0
1059,5707446,CARLSON,614,Israel,1,36,3,54451.5,2,0,0,52388,0,2,Elite Card,750,1
1060,5814130,DELLACQUA,947,UK,1,31,14,53529.3,1,0,0,189833,0,4,Debit Card,1095,1
1061,5651812,STICKELS,465,USA,1,54,0,103608.7,1,1,0,281881,0,2,Gold Card,573,1
1062,5694777,LOEBEL,711,USA,0,30,4,0,2,1,1,204586,0,4,Titanium Card,739,1
1063,5631518,SERRAT,631,Israel,1,34,10,44741.1,1,1,0,117849,1,4,Debit Card,1077,0
1064,5762283,CURNETT,842,UK,1,25,6,69212.3,1,1,1,249057,0,5,Gold Card,414,1
1065,5701084,HIDINGER,711,UK,1,23,2,0,2,1,1,210577,0,1,Elite Card,648,1
1066,5694180,BUGNA,551,UK,0,30,7,101446.1,2,0,0,57943,1,4,Titanium Card,998,0
1067,5690039,BADDLEY,771,UK,0,54,10,0,1,1,1,37498,1,2,Titanium Card,598,0
1068,5600048,BAKLE,696,Israel,0,31,14,142898,2,1,0,193222,0,1,Gold Card,1598,1
1069,5681570,PETROY,570,UK,1,63,7,0,1,1,0,29064,1,6,Gold Card,1189,0
1070,5629149,ZAGAL,806,UK,0,40,3,75565.4,1,1,0,47856,1,3,Debit Card,586,0
1071,5648801,PEEBLER,675,Israel,0,51,12,113957.3,1,1,0,259769,1,4,Gold Card,1768,0
1072,5587666,SCIOLI,647,Israel,1,45,8,68682.2,1,1,1,33728,0,3,Gold Card,507,1
1073,5625974,BEAUDROT,695,USA,1,25,4,0,2,0,1,295002,0,4,Debit Card,1598,1
1074,5791658,SCHLUMPF,484,USA,0,27,3,0,2,0,0,204760,0,4,Debit Card,1290,1
1075,5683553,SPLITSTONE,511,UK,0,35,14,74570,2,1,1,54418,0,1,Titanium Card,840,1
1076,5764499,MCELHANEY,822,Israel,1,35,14,93565.7,2,1,1,244881,0,1,Elite Card,1272,1
1077,5752799,LINDENFELD,658,USA,1,43,9,0,2,1,0,149481,0,4,Titanium Card,1576,1
1078,5731434,GRIEP,687,UK,0,22,9,97008.6,1,1,0,30310,0,4,Titanium Card,1408,1
1079,5634800,SAFFIOTI,652,Israel,1,40,12,97814,2,1,1,6293,0,2,Titanium Card,1011,1
1080,5750134,RASCATI,679,UK,0,35,15,71473.2,1,1,1,168510,0,2,Titanium Card,1329,1
1081,5590384,BRUNKO,838,Israel,0,43,3,87289.2,1,0,1,3053,0,4,Gold Card,784,1
1082,5700871,SCHNEIER,497,USA,0,38,15,0,1,1,0,198443,0,3,Debit Card,1732,1
1083,5664711,HECKLE,661,USA,0,44,9,59848.2,1,1,0,266075,1,6,Titanium Card,1192,0
1084,5694552,BUEHRER,674,UK,1,26,11,0,2,1,0,135426,0,3,Gold Card,1408,1
1085,5592758,VITITOE,786,UK,0,28,15,0,2,1,0,92024,0,4,Gold Card,1101,1
1086,5647647,FUHRIMAN,864,UK,1,37,3,0,1,1,0,294700,1,1,Gold Card,961,0
1087,5709143,BENZIN,732,UK,1,41,13,67166.3,3,0,0,106137,1,1,Elite Card,523,0
1088,5697421,HAINZ,528,UK,1,23,7,0,2,1,0,20838,0,1,Elite Card,778,1
1089,5646532,KASEL,883,USA,0,18,13,0,2,1,1,14526,0,1,Gold Card,1426,1
1090,5650159,KROEKER,578,UK,0,57,4,82654.2,2,1,1,60819,0,4,Debit Card,631,1
1091,5606097,KYRE,582,Israel,1,26,11,61081.6,1,1,1,204905,0,5,Elite Card,1285,1
1092,5785922,KARMAZIN,763,UK,0,45,3,84130.5,1,1,1,199758,0,2,Titanium Card,987,1
1093,5586051,SCHOENECKER,791,UK,1,43,12,62845.3,1,0,1,229231,1,6,Gold Card,1495,0
1094,5625837,MOEBS,662,UK,1,31,8,0,2,1,1,221573,0,4,Debit Card,1387,1
1095,5623521,KUSHNIR,810,UK,1,27,11,0,2,1,0,64753,0,1,Titanium Card,908,1
1096,5689374,ORLOSKI,792,UK,0,20,9,0,1,1,0,115133,1,4,Elite Card,1234,0
1097,5813916,VANDERMAAS,805,Israel,0,45,15,67145.2,3,1,1,110109,1,2,Debit Card,789,0
1098,5605742,APIGO,620,UK,0,35,13,0,2,1,0,265092,0,5,Gold Card,1609,1
1099,5724581,REISTROFFER,817,UK,0,25,6,94387.8,2,0,0,147463,0,4,Titanium Card,576,1
1100,5674764,GOETT,448,USA,1,47,15,0,2,1,1,9305,0,4,Elite Card,948,1
1101,5769595,SEAMANDS,879,UK,1,34,1,99057.8,1,1,1,265186,0,1,Titanium Card,670,1
1102,5783556,MAMRAK,670,USA,0,38,10,0,2,1,0,76019,0,3,Titanium Card,435,1
1103,5747846,MALLIK,396,USA,1,37,5,0,2,1,0,225871,0,1,Elite Card,1288,1
1104,5781843,TYNON,589,Israel,1,37,6,82269.2,2,1,0,120180,0,2,Elite Card,1436,1
1105,5590757,GLASSETT,552,UK,0,30,7,0,2,1,0,227468,0,5,Debit Card,994,1
1106,5624772,LENEAR,479,UK,1,48,14,71007.9,1,1,0,82608,0,6,Gold Card,860,1
1107,5619843,CORA,726,UK,0,41,0,0,2,0,0,172603,0,2,Elite Card,400,1
1108,5661983,KOZYRA,497,Israel,1,40,7,90366.6,1,0,0,224206,1,4,Titanium Card,1753,0
1109,5680159,SCHERPING,762,Israel,1,36,13,73703.6,2,1,0,69784,0,3,Gold Card,576,1
1110,5618193,MCCASKILL,625,UK,0,29,5,0,2,1,0,284993,0,3,Elite Card,919,1
1111,5593640,NORCINI,676,UK,1,44,11,123927.7,1,1,1,69554,1,4,Elite Card,979,0
1112,5798531,PRESSER,828,Israel,0,53,10,87236.4,1,1,1,46083,1,2,Debit Card,907,0
1113,5715612,HESSELL,764,UK,0,36,11,61718.8,2,0,0,106215,0,4,Titanium Card,1731,1
1114,5650053,MACHEL,717,Israel,0,18,1,88208,1,1,0,159995,1,2,Gold Card,483,0
1115,5626910,LAYSON,685,UK,0,61,5,96651,1,0,0,263754,1,2,Gold Card,1504,0
1116,5628244,DAPPEN,469,USA,1,44,7,58046.8,1,0,1,128469,0,3,Debit Card,940,1
1117,5725174,HALFACRE,549,UK,1,32,11,0,2,1,1,152228,0,5,Debit Card,768,1
1118,5593034,HELSBY,798,UK,1,52,7,76942.8,3,0,0,287602,1,2,Gold Card,1099,0
1119,5759465,THIELEMANN,575,USA,0,64,10,60713.6,1,1,1,152759,0,2,Titanium Card,1164,1
1120,5586909,HOCHHALTER,721,USA,0,26,0,78274.8,2,1,0,7333,0,1,Titanium Card,1016,1
1121,5589824,ADAMOV,829,Israel,1,23,13,60012.3,2,1,0,289699,0,2,Elite Card,1430,1
1122,5673996,SOPKO,825,UK,0,27,5,0,2,1,0,290278,0,2,Gold Card,912,1
1123,5791021,HEACOCK,666,Israel,0,50,4,74943.2,2,0,0,140973,1,3,Titanium Card,462,0
1124,5598073,MCABEE,729,Israel,0,42,10,105637.8,1,1,1,295501,1,6,Elite Card,493,0
1125,5629185,NOWOTNY,587,USA,0,39,15,0,1,1,0,160255,1,6,Debit Card,752,0
1126,5646922,LUDWIGSEN,660,Israel,1,54,6,99761,1,1,1,172741,0,6,Gold Card,728,1
1127,5595440,LUHRSEN,739,USA,0,23,5,81685.5,1,1,0,294390,0,4,Debit Card,469,1
1128,5648179,TIONG,510,Israel,1,41,5,95822.7,2,1,1,144606,0,2,Debit Card,1468,1
1129,5750506,GUTOSKI,758,UK,1,40,4,103775.5,1,1,0,146487,0,1,Debit Card,1178,1
1130,5686877,HOEFLER,678,UK,0,34,15,0,1,1,1,73662,1,1,Debit Card,602,0
1131,5628236,HOUCHEN,664,Israel,0,40,7,67824.4,1,0,1,293477,0,1,Debit Card,1252,1
1132,5734923,GERTZEN,578,USA,1,33,3,83881.5,1,1,0,167547,0,5,Elite Card,478,1
1133,5762773,MCDUFFEY,706,UK,1,29,8,0,2,1,1,257561,0,5,Gold Card,1202,1
1134,5707810,GOSHERT,650,UK,0,41,7,0,2,1,1,100082,0,1,Gold Card,1411,1
1135,5733970,ESTILLORE,827,UK,1,34,13,0,1,1,1,86814,0,3,Debit Card,1441,1
1136,5656217,HEARTH,771,Israel,1,26,0,105194,2,0,0,266992,0,6,Debit Card,1520,1
1137,5616213,ZARRELLA,810,UK,0,18,9,0,2,0,1,157688,0,5,Gold Card,1710,1
1138,5646605,GARCIARAMIREZ,566,UK,1,49,8,0,2,1,0,26159,0,5,Titanium Card,579,1
1139,5699377,FANTONI,478,Israel,1,37,13,121084.8,2,1,0,259002,0,1,Elite Card,910,1
1140,5570166,SCHUMM,682,USA,1,49,8,73119.8,1,0,1,1130,0,6,Debit Card,1513,1
1141,5567250,LENNEMAN,620,UK,1,43,3,64435.2,1,1,0,148029,1,3,Titanium Card,688,0
1142,5716264,JURICK,716,UK,1,43,9,126672.2,2,1,1,160571,0,5,Gold Card,874,1
1143,5763724,ROSTKOWSKI,748,USA,0,41,1,0,2,1,0,228230,0,3,Gold Card,1776,1
1144,5606583,CALVANO,681,UK,0,49,4,0,2,1,1,51507,0,3,Gold Card,1167,1
1145,5695842,FEDDERN,741,Israel,0,38,11,99308.5,1,0,1,260818,1,3,Gold Card,1570,0
1146,5602826,LITCH,535,UK,0,33,11,0,1,1,0,238881,0,3,Gold Card,1286,1
1147,5575899,MCREAVY,591,Israel,0,23,9,87563,2,1,0,82164,0,3,Elite Card,1144,1
1148,5671725,CLARAHAN,684,Israel,1,25,5,67809.2,3,1,0,201892,0,1,Gold Card,882,1
1149,5616930,SHEAR,687,USA,1,27,1,0,1,1,1,62587,0,3,Gold Card,853,1
1150,5775352,BLUDWORTH,661,UK,0,32,6,0,2,0,0,165791,0,1,Gold Card,786,1
1151,5723203,CERNY,786,UK,1,33,15,91975.4,1,0,0,13495,0,1,Gold Card,1405,1
1152,5753141,BRENNY,902,USA,0,24,4,86625.4,1,0,1,285300,0,1,Gold Card,1274,1
1153,5590972,FANGUE,721,Israel,1,40,11,100947.6,1,0,1,173000,0,2,Gold Card,698,1
1154,5670198,NIEDENTHAL,757,Israel,1,51,5,90428.7,1,0,0,215429,1,4,Elite Card,476,0
1155,5767703,STURMS,580,USA,1,38,13,81849,2,1,1,87700,0,6,Elite Card,753,1
1156,5768852,VIGGIANO,800,UK,1,38,3,101535.9,1,1,0,18193,0,1,Elite Card,1764,1
1157,5743076,CATTANEO,577,UK,1,54,9,0,2,1,1,74808,0,6,Gold Card,1220,1
1158,5811994,DORWART,762,USA,0,60,11,52943.8,1,0,1,209603,0,4,Elite Card,982,1
1159,5691769,HAFLER,434,Israel,0,49,8,83867.4,2,1,0,91337,1,2,Elite Card,1242,0
1160,5691564,HALBERSTADT,755,USA,0,41,10,0,2,1,0,151293,0,3,Debit Card,1491,1
1161,5720946,PAPEZ,593,UK,0,34,2,0,1,1,0,114960,1,3,Gold Card,496,0
1162,5783433,PAGADOR,739,UK,0,44,4,69878.3,1,1,0,189020,1,2,Gold Card,403,0
1163,5752916,DANOVICH,699,UK,0,21,0,0,1,1,0,131021,0,4,Debit Card,786,1
1164,5602993,LASKAR,823,Israel,0,23,3,44996.7,2,0,1,116055,0,5,Elite Card,1592,1
1165,5751451,BRYAR,947,UK,0,45,5,109900.4,1,1,1,94083,0,1,Elite Card,678,1
1166,5724647,KENEIPP,685,Israel,0,57,4,103184.3,2,0,0,294386,0,4,Elite Card,1479,1
1167,5634683,CARRANZA,579,Israel,0,18,14,95416.4,2,1,0,122585,0,4,Gold Card,530,1
1168,5703240,AMPONSAH,580,UK,0,44,2,0,1,1,1,46949,0,4,Debit Card,1148,1
1169,5710525,PFAFF,609,UK,1,35,6,0,2,1,0,95243,0,3,Titanium Card,678,1
1170,5650894,RAPOSA,688,UK,1,29,14,68088.9,1,1,1,249781,0,2,Debit Card,1430,1
1171,5591858,WAGENBACH,791,USA,1,32,2,53288.3,1,0,0,225363,0,3,Debit Card,1573,1
1172,5642100,BEA,744,Israel,0,30,4,80474.5,1,0,0,41017,1,2,Titanium Card,1275,0
1173,5698319,MATUSZAK,645,Israel,0,48,8,81811.7,2,1,1,130500,0,1,Elite Card,580,1
1174,5808710,REBARCHEK,500,USA,0,34,3,61575.5,2,1,0,67369,0,3,Titanium Card,864,1
1175,5589951,LEVERENZ,784,USA,0,46,11,135810.1,1,1,0,269968,1,1,Titanium Card,1441,0
1176,5722274,MCTIER,704,USA,1,38,12,0,2,1,0,218639,0,2,Debit Card,606,1
1177,5605270,MAROCCO,815,UK,0,24,0,0,2,0,0,21182,0,3,Debit Card,1108,1
1178,5651984,CHASKO,649,UK,1,18,1,0,2,1,0,99348,0,4,Gold Card,1394,1
1179,5784231,SCOTHORN,599,UK,1,57,1,0,1,1,1,285445,1,1,Debit Card,1365,0
1180,5815145,BANOS,874,Israel,0,35,10,62307,2,0,0,259174,0,6,Elite Card,1074,1
1181,5570623,LISCH,675,UK,1,30,15,0,2,1,1,148692,0,3,Titanium Card,446,1
1182,5625883,BRODNICK,625,Israel,0,23,7,26816.5,1,1,1,267511,0,3,Elite Card,1515,1
1183,5755987,SALWASSER,699,UK,0,35,1,112046.5,1,1,1,220488,1,5,Gold Card,1317,0
1184,5602266,PEROZO,660,UK,0,34,1,0,2,1,1,226972,0,1,Elite Card,1702,1
1185,5757353,DESORBO,623,Israel,0,47,12,87025.8,1,1,0,139373,0,2,Gold Card,424,1
1186,5795341,DEMOE,712,UK,0,34,13,88415.7,1,1,1,88461,0,1,Gold Card,1218,1
1187,5589807,NEMAN,719,UK,1,43,6,68976.7,2,1,1,261940,0,3,Debit Card,1207,1
1188,5720074,MAZZUCCO,755,UK,0,54,15,84365.2,1,1,1,119369,1,1,Elite Card,642,0
1189,5641661,MILLANG,575,UK,1,30,9,85508.5,2,1,0,76156,0,2,Elite Card,1423,1
1190,5791843,SECADA,680,UK,0,35,3,113161.8,1,1,1,230306,1,4,Gold Card,1512,0
1191,5637299,GLOWIAK,893,UK,1,19,12,0,2,1,1,199463,0,2,Debit Card,1401,1
1192,5688559,ZAJACK,693,Israel,0,34,12,100530.5,1,0,1,127813,0,3,Gold Card,523,1
1193,5589790,PACELLA,807,USA,1,57,7,86570.5,2,1,0,255322,1,4,Debit Card,1378,0
1194,5780093,QUEVEDO,436,USA,0,23,6,97399,3,1,0,150922,1,2,Debit Card,583,0
1195,5574051,CAPICOTTO,718,UK,0,25,4,0,2,1,0,279158,0,1,Debit Card,738,1
1196,5580755,JAVADI,712,UK,1,34,12,0,1,1,1,82679,0,1,Elite Card,1221,1
1197,5740034,PADUANO,678,Israel,0,30,8,43762.2,1,1,0,43141,0,4,Gold Card,1596,1
1198,5814210,BRANTMAN,599,USA,1,36,9,0,2,1,0,256532,0,5,Elite Card,648,1
1199,5678276,MASOTTI,672,UK,0,39,13,69722.8,1,1,0,265018,0,3,Gold Card,1016,1
1200,5770852,MUNIR,722,UK,0,36,5,0,1,0,1,43001,0,1,Debit Card,1605,1
1201,5805177,DIRCIO,870,Israel,0,36,9,66523.5,2,0,0,295857,0,3,Elite Card,738,1
1202,5651927,ROLES,369,Israel,0,40,11,85103.5,1,1,0,209992,1,4,Elite Card,854,0
1203,5724767,MAWYER,504,UK,0,25,3,0,1,1,0,226754,0,6,Elite Card,1058,1
1204,5570783,BEZON,503,UK,1,32,7,67504.8,1,1,1,177170,0,3,Elite Card,1620,1
1205,5652079,GRIMSRUD,661,UK,0,44,6,0,2,1,1,51679,0,4,Gold Card,1398,1
1206,5725010,LOUDERMILK,767,UK,0,78,2,80875.9,1,0,1,97308,0,4,Titanium Card,1634,1
1207,5601170,FOIT,576,USA,0,39,2,0,2,1,0,16435,0,2,Elite Card,1322,1
1208,5595649,ZARATE,725,Israel,0,28,4,54348.9,1,1,1,55328,0,1,Debit Card,724,1
1209,5617169,SCIAME,729,UK,1,52,5,85501.8,1,1,1,252080,0,2,Titanium Card,505,1
1210,5717552,OBEROI,821,UK,0,39,4,0,2,0,0,232840,0,1,Gold Card,1782,1
1211,5659098,HUMBIRD,712,UK,1,41,0,0,3,1,0,57614,1,3,Debit Card,1135,0
1212,5739160,SCHAPER,478,UK,1,38,0,0,2,0,1,112919,0,1,Gold Card,1660,1
1213,5814689,OLAIS,621,USA,0,32,14,0,2,1,0,237453,1,6,Titanium Card,426,0
1214,5624781,KONTRA,764,UK,0,18,5,0,2,1,1,17288,0,2,Gold Card,1778,1
1215,5675791,PICCONE,635,USA,1,32,0,0,1,1,0,142489,1,4,Elite Card,478,0
1216,5625532,VERGOS,799,USA,0,48,1,0,1,1,0,260868,1,1,Gold Card,804,0
1217,5683622,WHEATON,581,UK,0,33,11,0,1,0,1,61708,0,3,Debit Card,727,1
1218,5698069,HIRDES,546,Israel,0,25,8,97027.7,2,1,1,87029,0,2,Debit Card,1261,1
1219,5731694,CARLON,694,UK,0,18,12,0,1,0,0,246192,1,1,Gold Card,1116,0
1220,5814167,TRAME,717,Israel,1,37,7,83067.7,2,1,1,70497,1,1,Debit Card,734,0
1221,5656611,GRIFFITHS,719,Israel,0,32,10,76788.6,2,1,1,265919,0,1,Elite Card,846,1
1222,5698482,KOESTLER,851,UK,1,31,15,109193,2,1,0,113748,0,4,Gold Card,612,1
1223,5617702,SHECHTMAN,488,UK,0,40,0,43822.3,1,1,0,91641,0,2,Debit Card,1695,1
1224,5655683,BLADEK,756,USA,1,44,5,0,2,0,1,45176,0,3,Debit Card,1418,1
1225,5628414,ESHO,534,USA,1,49,12,85657.4,1,1,0,268840,0,5,Debit Card,1153,1
1226,5734728,MEYERHOLZ,780,USA,1,43,15,73109,1,1,1,78165,0,2,Debit Card,748,1
1227,5775776,ESPANA,563,Israel,0,48,7,58882.9,2,1,0,112873,0,1,Titanium Card,573,1
1228,5613943,BANDURA,517,UK,1,26,13,97630.2,2,1,0,276476,0,1,Gold Card,1336,1
1229,5578931,LEFFERTS,742,UK,1,38,13,0,2,1,0,237829,0,4,Debit Card,1447,1
1230,5609069,HIRONIMUS,528,USA,0,36,2,0,2,1,1,143529,0,4,Debit Card,1095,1
1231,5742999,BARSEGIAN,791,Israel,0,38,2,73299.4,2,0,1,107523,0,1,Gold Card,1486,1
1232,5751389,SEIGNEUR,819,USA,0,36,4,52435.4,1,1,0,2685,0,3,Titanium Card,1707,1
1233,5607553,HOYETT,550,Israel,1,46,14,71900.5,1,1,0,209146,1,2,Debit Card,1339,0
1234,5576564,DOROBIALA,674,Israel,1,35,6,55843.6,2,1,0,177537,0,2,Elite Card,1095,1
1235,5685122,MURVINE,868,UK,0,66,1,95848.7,1,1,1,196241,0,2,Titanium Card,1124,1
1236,5601133,KURZHAL,526,Israel,0,66,3,77484.8,1,1,1,179106,0,4,Titanium Card,1328,1
1237,5776018,MANGINI,680,Israel,0,41,15,68981,1,1,1,244054,0,3,Titanium Card,436,1
1238,5635196,PANFILI,810,UK,1,50,3,0,2,1,0,258997,0,4,Gold Card,1069,1
1239,5620187,HOLEVA,719,UK,0,18,8,91661.6,2,0,1,255213,0,3,Elite Card,1155,1
1240,5661878,AMEELE,647,UK,0,25,2,0,2,1,0,110965,0,1,Gold Card,1238,1
1241,5617980,MELUSKEY,569,UK,1,44,15,86553.1,1,1,1,91359,0,5,Gold Card,1304,1
1242,5761427,MCLELLAND,603,UK,1,23,4,97553,2,1,1,292300,0,6,Elite Card,716,1
1243,5813415,MARDIAN,745,Israel,0,37,5,76018.5,1,1,1,290574,0,3,Gold Card,1074,1
1244,5593370,BAILEX,731,Israel,1,33,12,97720.5,1,0,1,21950,0,5,Titanium Card,825,1
1245,5616912,SOMMA,566,Israel,1,30,5,88081.6,2,0,0,47595,0,6,Titanium Card,1648,1
1246,5659472,CECCARELLI,638,UK,0,51,0,54369.3,1,1,0,30095,1,1,Debit Card,1404,0
1247,5722200,RAGOZZINO,728,UK,0,64,6,0,2,1,1,149689,0,5,Gold Card,980,1
1248,5711997,ROSALES,571,UK,0,19,14,0,2,1,0,56481,0,1,Titanium Card,1029,1
1249,5771600,GETCHEL,733,USA,1,24,0,0,2,1,1,288673,0,5,Debit Card,1315,1
1250,5803802,MOELKER,862,UK,0,33,11,0,2,1,1,271812,0,3,Titanium Card,1800,1
1251,5703866,GEOFFROY,578,Israel,1,33,7,116809.8,1,1,1,232748,0,6,Titanium Card,1033,1
1252,5816736,ATON,618,Israel,1,34,9,83689.7,1,1,0,182256,1,5,Debit Card,1441,0
1253,5658720,STOESZ,745,UK,0,66,10,65137.3,1,1,1,92353,0,1,Gold Card,1707,1
1254,5701426,HARKLESS,483,Israel,1,60,12,84545.1,2,1,0,184904,0,4,Elite Card,702,1
1255,5612189,SUTKO,656,UK,1,43,3,31247,4,1,0,46908,1,1,Titanium Card,1486,0
1256,5617026,HEIR,646,USA,0,42,3,0,2,1,1,94237,0,2,Debit Card,1063,1
1257,5782969,CIRCOSTA,791,UK,1,40,12,80063.3,1,1,0,276084,0,5,Elite Card,1202,1
1258,5648550,BAKEBERG,606,UK,0,33,10,0,2,1,1,73387,0,2,Gold Card,1645,1
1259,5741476,BIPPERT,603,UK,0,34,11,0,2,1,0,286666,0,5,Elite Card,1213,1
1260,5702760,WORTS,648,Israel,0,26,9,69571.3,2,0,1,81276,0,4,Gold Card,1743,1
1261,5744468,HOFELDT,691,Israel,0,19,2,98002.9,1,1,0,96571,1,5,Debit Card,1490,0
1262,5795641,KORANDA,703,Israel,0,44,1,48682.1,2,1,0,118156,0,4,Gold Card,634,1
1263,5749311,ZENTNER,624,USA,1,30,2,115621.7,1,0,1,175150,0,5,Elite Card,1566,1
1264,5726587,DOWDEY,703,UK,1,33,12,110453.3,1,0,0,49374,0,4,Gold Card,1290,1
1265,5733380,HONADEL,856,USA,1,23,13,69785.7,1,0,1,76458,0,2,Debit Card,472,1
1266,5663248,MANASCO,630,UK,1,47,0,77982.2,3,1,0,183099,1,2,Elite Card,1512,0
1267,5750143,LUNTZ,624,UK,0,36,9,0,1,1,0,98995,0,4,Debit Card,735,1
1268,5783223,KRAMME,917,Israel,0,28,6,84488.6,1,1,1,119366,0,2,Titanium Card,1159,1
1269,5617823,NUANEZ,695,UK,1,40,12,98987.4,1,1,0,195793,0,5,Debit Card,1692,1
1270,5724596,ENSEY,550,UK,1,33,15,91769.4,2,1,1,258944,0,1,Elite Card,586,1
1271,5671575,HOZEMPA,793,Israel,0,23,7,76876.7,1,1,0,22824,0,1,Debit Card,1772,1
1272,5794158,BRESCHER,748,UK,0,43,11,66063.8,1,1,1,26268,0,4,Titanium Card,908,1
1273,5756569,STEPEK,614,Israel,1,37,13,110406.9,2,0,0,197778,0,1,Gold Card,1423,1
1274,5612133,SCHRANTZ,468,UK,0,40,5,0,2,1,0,272918,1,2,Titanium Card,817,0
1275,5626025,KRECKEL,587,USA,1,34,8,107752.4,1,1,0,137223,0,6,Debit Card,1009,1
1276,5684219,PETHERS,701,UK,1,33,4,97736.8,1,1,1,115679,0,2,Gold Card,1084,1
1277,5691740,GOSEN,673,Israel,0,30,12,75659.1,1,1,0,143417,1,1,Elite Card,1743,0
1278,5723493,DEBLANC,793,UK,0,39,10,51334.8,2,1,1,120642,0,1,Elite Card,1786,1
1279,5642207,AUBERTIN,667,USA,1,65,1,0,2,0,1,245572,0,1,Debit Card,799,1
1280,5636112,OFF,570,UK,0,42,10,0,2,0,1,41062,0,5,Gold Card,1516,1
1281,5672354,MESSNER,802,USA,1,34,8,0,2,1,1,110810,0,4,Debit Card,421,1
1282,5780006,BARKDULL,781,USA,1,55,14,121576.4,1,0,0,208899,1,2,Gold Card,1189,0
1283,5779693,SEDER,707,UK,1,44,0,0,2,1,1,197658,0,5,Debit Card,1033,1
1284,5610992,CONATSER,745,UK,0,51,0,99576.4,1,0,1,260181,0,6,Debit Card,472,1
1285,5742318,BADHAM,555,UK,0,67,11,84966.8,1,0,1,101329,0,1,Gold Card,1785,1
1286,5659828,HIRCHAK,547,USA,1,61,14,108185.5,1,1,1,52147,0,5,Debit Card,1796,1
1287,5591424,HALPAIN,657,USA,0,34,1,101475.3,2,0,0,180328,0,3,Debit Card,537,1
1288,5566314,HUSSIN,684,USA,0,45,4,107995.9,1,0,0,135318,0,4,Titanium Card,926,1
1289,5597323,NIEBERLEIN,529,USA,1,34,0,87645.6,1,1,0,247463,0,2,Titanium Card,1202,1
1290,5689370,SCHLIENTZ,764,Israel,1,49,6,68653.6,1,1,0,1928,1,3,Debit Card,1022,0
1291,5815402,LINERO,730,Israel,0,27,0,95548,1,1,0,125519,0,3,Titanium Card,890,1
